Price,Product Name,URL,Ratings,
"94,990","Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQzMjM4MjUwMjE3MDAxOjE3NTEzOTgxMDU6c3BfYXRmOjMwMDQ5OTQ1MzM0NzMzMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDC247V%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751398104%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=DUB","",
"3,09,990","Apple 2024 MacBook Pro Laptop with M4 Max chip with 14?core CPU and 32?core GPU: Built for Apple Intelligence, (14.2?) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQzMjM4MjUwMjE3MDAxOjE3NTEzOTgxMDU6c3BfYXRmOjMwMDM5Mjk2MzMyNzgzMjo6MDo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-32%25E2%2580%2591core%2Fdp%2FB0DLHGCB3C%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751398104%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=DUB","",
"30,490","HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU","https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-3","",
"58,990","Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-4","",
"22,690","HP 255 G10 Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver","https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-5","",
"25,980","Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-6","",
"33,990","HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu","https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-7","",
"20,432","Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-8","",
"45,990","Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","https://www.amazon.in/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-9","",
"34,490","Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_10?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-10","",
"1,36,990","Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8?core CPU and 10?core GPU, 24GB Unified Memory, 512GB) - Space Gray","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQzMjM4MjUwMjE3MDAxOjE3NTEzOTgxMDU6c3BfbXRmOjMwMDM5Mjk2MzMyODkzMjo6MDo6&url=%2FApple-MacBook-13-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0DLHH4BJ9%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751398104%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB","",
"35,490","Dell Inspiron 3530, Intel Core i3-1305U, 13thGen, 8GB RAM, 512GB SSD, FHD WVA AG 120Hz, 15.6""/39.62cm, Windows 11, MS Office 21, Platinum Silver, 1.62KG, 250 nits Narrow Border, McAfee 15 Month Laptop","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQzMjM4MjUwMjE3MDAxOjE3NTEzOTgxMDU6c3BfbXRmOjMwMDUxMjA5ODcyNzAzMjo6MDo6&url=%2FDell-Inspiron-3530-i3-1305U-Platinum%2Fdp%2FB0DRKPKH7P%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751398104%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB","",
"69,990","HP 15 Laptop,13th Gen Intel Core i7-1355U Laptop(16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6"" FHD, Win11, M365 Basic(1yr),MSOffice 2024,Silver,1.59kg, Iris Xe, Camera w/Shutter,FPR, fd0515TU","https://www.amazon.in/HP-i7-1355U-Anti-Glare-Micro-Edge-MSOffice/dp/B0F66VQB4S/ref=sr_1_13?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-13","",
"15,990","Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_14?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-14","",
"30,399","HP 15 AMD Ryzen 3 7320U (8GB Ram/512GB SSD/Fhd/15.6"" (39.6 Cm)/Backlit Keyboard/Windows 11/Ms Office 21/1.59Kg/Silver) Fc0026Au Laptop","https://www.amazon.in/HP-Backlit-Keyboard-Windows-Fc0026Au/dp/B0C3RCR4K7/ref=sr_1_15?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-15","",
"42,990","Dell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office 2024, Platinum Silver, 1.67 kg, Thin & Light Laptop","https://www.amazon.in/Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=sr_1_16?dib=eyJ2IjoiMSJ9.hlRc3N7lRCe93nxR_CocVMNmQdcWan2EDmYMSQf6qRxaGc5yIuUHn9yJ_AnfwKe3QmgIMQHhGwcLfuFw1pGhM_EtoCvmKHy-Xr-zQxGVUYNfd9h6ckPPaojyN2rCG1TIDuO5hMlBtaedBI8euTZwGpHD_9XCDrWnOhpgE0_8CchdsXukFVboi8ICYbYfw5mFFQlmyakDniItejnX1NZQEZU8qet3-j9lXNhd2gj1VFY.dobTZg1timmmDlxBwouORHkQbNGP-yu_1TdEa0ZbISU&dib_tag=se&keywords=laptop&qid=1751398104&sr=8-16","",
